hash,path,group_size
0000000000000000,data\train\angry\11286.jpg,9
0000000000000000,data\train\angry\13148.jpg,9
0000000000000000,data\train\angry\13402.jpg,9
0000000000000000,data\train\angry\15894.jpg,9
0000000000000000,data\train\angry\28601.jpg,9
0000000000000000,data\train\angry\6458.jpg,9
0000000000000000,data\train\happy\7629.jpg,9
0000000000000000,data\train\neutral\22927.jpg,9
0000000000000000,data\train\surprise\13988.jpg,9
81de0168dfe0e5d6,data\train\fear\13651.jpg,7
81de0168dfe0e5d6,data\train\fear\17959.jpg,7
81de0168dfe0e5d6,data\train\fear\23849.jpg,7
81de0168dfe0e5d6,data\train\fear\2691.jpg,7
81de0168dfe0e5d6,data\train\fear\32991.jpg,7
81de0168dfe0e5d6,data\train\fear\34561.jpg,7
81de0168dfe0e5d6,data\train\fear\6506.jpg,7
91c8ee81f90db966,data\train\fear\12243.jpg,7
91c8ee81f90db966,data\train\fear\6938.jpg,7
91c8ee81f90db966,data\train\surprise\12745.jpg,7
91c8ee81f90db966,data\train\surprise\27002.jpg,7
91c8ee81f90db966,data\train\surprise\35750.jpg,7
91c8ee81f90db966,data\train\surprise\6936.jpg,7
91c8ee81f90db966,data\train\surprise\9990.jpg,7
bccbe640a6662f25,data\train\angry\13141.jpg,7
bccbe640a6662f25,data\train\angry\18784.jpg,7
bccbe640a6662f25,data\train\angry\25060.jpg,7
bccbe640a6662f25,data\train\angry\32865.jpg,7
bccbe640a6662f25,data\train\angry\34944.jpg,7
bccbe640a6662f25,data\train\angry\35012.jpg,7
bccbe640a6662f25,data\train\angry\3808.jpg,7
d49dd3f4d2843c38,data\train\angry\12667.jpg,7
d49dd3f4d2843c38,data\train\angry\14338.jpg,7
d49dd3f4d2843c38,data\train\angry\20926.jpg,7
d49dd3f4d2843c38,data\train\angry\34579.jpg,7
d49dd3f4d2843c38,data\train\angry\5682.jpg,7
d49dd3f4d2843c38,data\train\angry\6208.jpg,7
d49dd3f4d2843c38,data\test\angry\25876.jpg,7
810a1f9f9d38383f,data\train\angry\16316.jpg,6
810a1f9f9d38383f,data\train\angry\18838.jpg,6
810a1f9f9d38383f,data\train\angry\20818.jpg,6
810a1f9f9d38383f,data\train\angry\24683.jpg,6
810a1f9f9d38383f,data\train\angry\25066.jpg,6
810a1f9f9d38383f,data\train\angry\32994.jpg,6
94d11fd3ba64392c,data\train\angry\24265.jpg,6
94d11fd3ba64392c,data\train\angry\24686.jpg,6
94d11fd3ba64392c,data\train\angry\32600.jpg,6
94d11fd3ba64392c,data\train\angry\35489.jpg,6
94d11fd3ba64392c,data\train\angry\5763.jpg,6
94d11fd3ba64392c,data\train\angry\9528.jpg,6
c0d07f9a246de35a,data\train\angry\19603.jpg,6
c0d07f9a246de35a,data\train\angry\33448.jpg,6
c0d07f9a246de35a,data\train\angry\33968.jpg,6
c0d07f9a246de35a,data\train\angry\4501.jpg,6
c0d07f9a246de35a,data\train\angry\5009.jpg,6
c0d07f9a246de35a,data\train\fear\29726.jpg,6
f301fb04df207c47,data\train\angry\20124.jpg,6
f301fb04df207c47,data\train\angry\25908.jpg,6
f301fb04df207c47,data\train\angry\26962.jpg,6
f301fb04df207c47,data\train\angry\29432.jpg,6
f301fb04df207c47,data\train\angry\29810.jpg,6
f301fb04df207c47,data\train\angry\35560.jpg,6
811d5cc417be687b,data\train\fear\12574.jpg,5
811d5cc417be687b,data\train\fear\24272.jpg,5
811d5cc417be687b,data\train\fear\26788.jpg,5
811d5cc417be687b,data\train\fear\32691.jpg,5
811d5cc417be687b,data\train\sad\35263.jpg,5
8ea97ef4aa326862,data\train\surprise\15259.jpg,5
8ea97ef4aa326862,data\train\surprise\28881.jpg,5
8ea97ef4aa326862,data\train\surprise\30300.jpg,5
8ea97ef4aa326862,data\train\surprise\33632.jpg,5
8ea97ef4aa326862,data\train\surprise\8715.jpg,5
92945e8a3d6a6eca,data\train\angry\17181.jpg,5
92945e8a3d6a6eca,data\train\angry\20832.jpg,5
92945e8a3d6a6eca,data\train\angry\28378.jpg,5
92945e8a3d6a6eca,data\train\angry\30506.jpg,5
92945e8a3d6a6eca,data\train\angry\33433.jpg,5
ab42cadacb682dc9,data\train\disgust\13263.jpg,5
ab42cadacb682dc9,data\train\disgust\14774.jpg,5
ab42cadacb682dc9,data\train\disgust\19813.jpg,5
ab42cadacb682dc9,data\train\disgust\30550.jpg,5
ab42cadacb682dc9,data\train\disgust\32260.jpg,5
b71dec0c0733c479,data\train\surprise\11279.jpg,5
b71dec0c0733c479,data\train\surprise\30929.jpg,5
b71dec0c0733c479,data\train\surprise\34743.jpg,5
b71dec0c0733c479,data\train\surprise\4915.jpg,5
b71dec0c0733c479,data\train\surprise\6411.jpg,5
ba4a42fb0b60796e,data\train\surprise\17540.jpg,5
ba4a42fb0b60796e,data\train\surprise\17732.jpg,5
ba4a42fb0b60796e,data\train\surprise\21522.jpg,5
ba4a42fb0b60796e,data\train\surprise\28662.jpg,5
ba4a42fb0b60796e,data\train\surprise\7315.jpg,5
cf7e3aa0a1692e32,data\train\angry\13425.jpg,5
cf7e3aa0a1692e32,data\train\angry\1806.jpg,5
cf7e3aa0a1692e32,data\train\angry\22918.jpg,5
cf7e3aa0a1692e32,data\train\angry\25057.jpg,5
cf7e3aa0a1692e32,data\train\angry\26088.jpg,5
d00952f52f341dd7,data\train\fear\13803.jpg,5
d00952f52f341dd7,data\train\fear\32820.jpg,5
d00952f52f341dd7,data\train\sad\24986.jpg,5
d00952f52f341dd7,data\train\sad\31220.jpg,5
d00952f52f341dd7,data\train\sad\32731.jpg,5
d2097aadeb656826,data\train\surprise\1327.jpg,5
d2097aadeb656826,data\train\surprise\17478.jpg,5
d2097aadeb656826,data\train\surprise\22393.jpg,5
d2097aadeb656826,data\train\surprise\23378.jpg,5
d2097aadeb656826,data\train\surprise\4461.jpg,5
d7185a96ff383910,data\train\angry\12025.jpg,5
d7185a96ff383910,data\train\angry\1462.jpg,5
d7185a96ff383910,data\train\angry\3960.jpg,5
d7185a96ff383910,data\train\angry\5191.jpg,5
d7185a96ff383910,data\train\angry\5250.jpg,5
ecd1aacab42b5866,data\train\surprise\12176.jpg,5
ecd1aacab42b5866,data\train\surprise\33500.jpg,5
ecd1aacab42b5866,data\train\surprise\4426.jpg,5
ecd1aacab42b5866,data\train\surprise\8079.jpg,5
ecd1aacab42b5866,data\train\surprise\9839.jpg,5
ee1f32ea60610d67,data\train\surprise\15449.jpg,5
ee1f32ea60610d67,data\train\surprise\15532.jpg,5
ee1f32ea60610d67,data\train\surprise\22159.jpg,5
ee1f32ea60610d67,data\train\surprise\2475.jpg,5
ee1f32ea60610d67,data\train\surprise\9672.jpg,5
ffa87692895c3582,data\train\fear\10015.jpg,5
ffa87692895c3582,data\train\fear\17307.jpg,5
ffa87692895c3582,data\train\surprise\14535.jpg,5
ffa87692895c3582,data\train\surprise\33430.jpg,5
ffa87692895c3582,data\test\surprise\32165.jpg,5
872a1ab5383179eb,data\train\fear\15178.jpg,4
872a1ab5383179eb,data\train\fear\33571.jpg,4
872a1ab5383179eb,data\train\fear\5240.jpg,4
872a1ab5383179eb,data\train\fear\663.jpg,4
878b8ba7183d68e5,data\train\angry\11571.jpg,4
878b8ba7183d68e5,data\train\angry\6131.jpg,4
878b8ba7183d68e5,data\train\angry\9586.jpg,4
878b8ba7183d68e5,data\test\angry\8001.jpg,4
911f45d76519269e,data\train\surprise\2259.jpg,4
911f45d76519269e,data\train\surprise\23724.jpg,4
